elapsed (s),x-axis (g),y-axis (g),z-axis (g),x-axis (T),y-axis (T),z-axis (T),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),illuminance (lx)
2.17,-0.063,-0.005,1.004,0.000020187,-0.000022375,-0.000010438,0.122,0.244,0.061,
2.18,-0.064,-0.006,1.003,0.0000205,-0.000023125,-0.000012,0.122,0.183,0.183,
2.19,-0.063,-0.006,1.006,0.000020875,-0.000024562,-0.000012813,0,0.061,0.061,
2.199,-0.064,-0.006,1.004,0.00002125,-0.000023438,-0.000012,0.061,0.244,-0.061,
2.209,-0.065,-0.007,1.003,0.000020875,-0.000022375,-0.000012,0.244,0.183,0,
2.22,-0.061,-0.007,1.006,0.0000205,-0.000024938,-0.000012813,-0.366,0.244,0,
2.23,-0.062,-0.005,1.004,0.000020875,-0.000023125,-0.000011625,0.244,0,0,
2.239,-0.064,-0.006,1.003,0.000020875,-0.000024562,-0.000012438,0.366,0.122,0,
2.249,-0.064,-0.007,1.005,0.000020875,-0.000023125,-0.000012813,0.366,0.061,0.183,
2.259,-0.063,-0.006,1.004,0.000020875,-0.000023125,-0.000012438,0,0.244,-0.061,
2.269,-0.063,-0.007,1.005,0.0000205,-0.000023812,-0.000012438,0.061,-0.061,0,
2.28,-0.064,-0.006,1.004,0.000020875,-0.000023812,-0.000012,0,0.305,0,
2.288,-0.066,-0.005,1.005,0.000020875,-0.000023812,-0.000012438,-0.061,0.122,0.122,
2.299,-0.065,-0.006,1.005,0.000020875,-0.000024188,-0.000013188,0.061,0.061,0,
2.309,-0.064,-0.005,1.003,0.00002125,-0.000023438,-0.000012438,0.061,-0.061,0.183,
2.319,-0.065,-0.005,1.004,0.000020875,-0.000024562,-0.000013188,0.061,0.305,0,
2.328,-0.062,-0.006,1.005,0.00002125,-0.000023812,-0.000012438,-0.244,0.488,-0.122,
2.338,-0.063,-0.005,1.004,0.00002125,-0.000024188,-0.000012,-0.183,0.366,-0.061,
2.349,-0.064,-0.004,1.005,0.000020875,-0.000024188,-0.000013188,-0.183,0,0,
2.359,-0.063,-0.006,1.004,0.000020875,-0.000023812,-0.000013188,-0.122,0.244,0.122,
2.368,-0.063,-0.006,1.005,0.000021625,-0.000023125,-0.000012,-0.122,-0.061,0.122,
2.378,-0.063,-0.007,1.006,0.000020875,-0.000024188,-0.000011625,0.061,0,0.183,
2.388,-0.064,-0.005,1.003,0.000020875,-0.000024188,-0.000012438,0.244,-0.122,0.122,
2.398,-0.065,-0.005,1.004,0.000020875,-0.000024562,-0.000012,0.427,0.122,0.244,
2.407,-0.064,-0.004,1.005,0.000020875,-0.000024188,-0.000013188,0.244,0.244,0.122,
2.417,-0.064,-0.006,1.005,0.000020875,-0.000024188,-0.000012438,0.244,0.305,-0.122,
2.428,-0.063,-0.005,1.005,0.000021625,-0.000023812,-0.000012813,0.183,-0.061,-0.122,
2.438,-0.064,-0.005,1.003,0.000020187,-0.000023438,-0.000011625,0.183,0.244,-0.122,
2.447,-0.065,-0.005,1.004,0.000022,-0.000023812,-0.000012438,0,0.244,-0.122,
2.457,-0.064,-0.006,1.005,0.000020187,-0.000023812,-0.000012813,-0.183,0.366,0.061,
2.467,-0.064,-0.006,1.005,0.000020187,-0.000024562,-0.000012813,-0.061,0.244,0.061,
2.477,-0.064,-0.005,1.004,0.00002125,-0.000024188,-0.000012375,0,0.122,-0.061,
2.488,-0.065,-0.006,1.003,0.00002125,-0.000023812,-0.000013188,0,0.244,0.061,
2.496,-0.065,-0.004,1.004,0.000020875,-0.00002275,-0.000011625,-0.061,0.244,-0.122,
2.507,-0.065,-0.006,1.004,0.000022,-0.000023812,-0.000012813,0.183,-0.183,0.305,
2.517,-0.063,-0.005,1.004,0.000021625,-0.000023438,-0.000012813,0.122,0.305,0.122,
2.527,-0.063,-0.006,1.004,0.000020875,-0.000024188,-0.000012375,0.244,0.183,0,
2.536,-0.064,-0.004,1.005,0.0000205,-0.000023438,-0.000012,0.183,0.366,-0.061,
2.546,-0.063,-0.005,1.008,0.000020187,-0.000023812,-0.000013188,0.244,0,-0.305,
2.557,-0.064,-0.005,1.003,0.000021625,-0.000024188,-0.000011625,-0.122,-0.244,-0.244,
2.567,-0.063,-0.003,1.003,0.0000205,-0.000023125,-0.000011625,0,0.244,-0.122,
2.576,-0.065,-0.004,1.005,0.0000205,-0.000024188,-0.000012375,-0.122,0.122,-0.366,
2.586,-0.063,-0.006,1.005,0.000020875,-0.000024188,-0.000012,0,0.122,0,
2.596,-0.063,-0.005,1.004,0.00002125,-0.000023125,-0.000012,0.244,-0.183,-0.122,
2.606,-0.064,-0.005,1.006,0.0000205,-0.000024562,-0.000012813,0.061,0.183,-0.061,
2.615,-0.063,-0.007,1.004,0.000021625,-0.000023812,-0.000012813,0.183,0,0,
2.625,-0.064,-0.006,1.005,0.000020187,-0.000023438,-0.000012438,-0.183,0.305,-0.183,
2.636,-0.065,-0.005,1.005,0.000020875,-0.00002275,-0.000012438,0,0.061,0.061,
2.646,-0.065,-0.005,1.005,0.000021625,-0.000023812,-0.000012813,0,0.244,-0.122,
